Time,X,Y,Z,F_Z
3.17,0.316699,-0.0372971,-0.938179,0
3.18,0.317171,-0.0377126,-0.941119,0
3.19,0.317647,-0.0381221,-0.944057,0
3.2,0.318129,-0.0385257,-0.946992,0
3.21,0.318615,-0.0389231,-0.949923,0
3.22,0.319107,-0.0393144,-0.952852,0
3.23,0.319603,-0.0396995,-0.955778,0
3.24,0.320105,-0.0400783,-0.958701,0
3.25,0.320611,-0.0404508,-0.961621,0
3.26,0.321121,-0.040817,-0.964538,0
3.27,0.321637,-0.0411766,-0.967452,0
3.28,0.322156,-0.0415298,-0.970363,0
3.29,0.32268,-0.0418764,-0.973271,0
3.3,0.323209,-0.0422164,-0.976177,0
3.31,0.323741,-0.0425497,-0.979079,0
3.32,0.324278,-0.0428763,-0.981979,0
3.33,0.324819,-0.0431962,-0.984876,0
3.34,0.325364,-0.0435092,-0.98777,0
3.35,0.325912,-0.0438153,-0.99066,0
3.36,0.326465,-0.0441146,-0.993549,0
3.37,0.327021,-0.0444068,-0.996434,0
3.38,0.327581,-0.0446921,-0.999316,0
3.39,0.328144,-0.0449703,-1.0022,0
3.4,0.328711,-0.0452414,-1.00507,0
3.41,0.329281,-0.0455053,-1.00795,0
3.42,0.329855,-0.0457621,-1.01082,0
3.43,0.330431,-0.0460116,-1.01368,0
3.44,0.331011,-0.0462539,-1.01655,0
3.45,0.331594,-0.0464888,-1.01941,0
3.46,0.332179,-0.0467164,-1.02227,0
3.47,0.332768,-0.0469367,-1.02513,0
3.48,0.333359,-0.0471495,-1.02798,0
3.49,0.333953,-0.0473549,-1.03083,0
3.5,0.334549,-0.0475528,-1.03368,0
3.51,0.335148,-0.0477432,-1.03652,0
3.52,0.335749,-0.0479261,-1.03937,0
3.53,0.336352,-0.0481014,-1.04221,0
3.54,0.336958,-0.0482691,-1.04504,0
3.55,0.337566,-0.0484292,-1.04788,0
3.56,0.338175,-0.0485816,-1.05071,0
3.57,0.338786,-0.0487263,-1.05353,0
3.58,0.3394,-0.0488634,-1.05636,0
3.59,0.340014,-0.0489928,-1.05918,0
3.6,0.340631,-0.0491144,-1.062,0
3.61,0.341249,-0.0492282,-1.06482,0
3.62,0.341868,-0.0493343,-1.06763,0
3.63,0.342489,-0.0494326,-1.07044,0
3.64,0.34311,-0.0495231,-1.07325,0
3.65,0.343733,-0.0496057,-1.07606,0
3.66,0.344357,-0.0496806,-1.07886,0
3.67,0.344982,-0.0497476,-1.08166,0
3.68,0.345607,-0.0498067,-1.08446,0
3.69,0.346234,-0.0498579,-1.08725,0
3.7,0.34686,-0.0499013,-1.09004,0
3.71,0.347488,-0.0499368,-1.09283,0
3.72,0.348115,-0.0499645,-1.09562,0
3.73,0.348743,-0.0499842,-1.0984,0
3.74,0.349372,-0.0499961,-1.10118,0
3.75,0.35,-0.05,-1.10396,0
3.76,0.350628,-0.0499961,-1.10673,0
3.77,0.351257,-0.0499842,-1.10951,0
3.78,0.351885,-0.0499645,-1.11227,0
3.79,0.352512,-0.0499368,-1.11504,0
3.8,0.35314,-0.0499013,-1.1178,0
3.81,0.353766,-0.0498579,-1.12057,0
3.82,0.354393,-0.0498067,-1.12332,0
3.83,0.355018,-0.0497476,-1.12608,0
3.84,0.355643,-0.0496806,-1.12883,0
3.85,0.356267,-0.0496057,-1.13158,0
3.86,0.35689,-0.0495231,-1.13433,0
3.87,0.357511,-0.0494326,-1.13707,0
3.88,0.358132,-0.0493343,-1.13982,0
3.89,0.358751,-0.0492282,-1.14255,0
3.9,0.359369,-0.0491144,-1.14529,0
3.91,0.359985,-0.0489928,-1.14802,0
3.92,0.3606,-0.0488634,-1.15075,0
3.93,0.361214,-0.0487263,-1.15348,0
3.94,0.361825,-0.0485816,-1.15621,0
3.95,0.362434,-0.0484292,-1.15893,0
3.96,0.363042,-0.0482691,-1.16165,0
3.97,0.363648,-0.0481014,-1.16437,0
3.98,0.364251,-0.0479261,-1.16708,0
3.99,0.364852,-0.0477432,-1.16979,0
4,0.365451,-0.0475528,-1.1725,0
4.01,0.366047,-0.0473549,-1.17521,0
4.02,0.366641,-0.0471495,-1.17791,0
4.03,0.367232,-0.0469367,-1.18061,0
4.04,0.367821,-0.0467164,-1.18331,0
4.05,0.368406,-0.0464888,-1.18601,0
4.06,0.368989,-0.0462539,-1.1887,0
4.07,0.369569,-0.0460116,-1.19139,0
4.08,0.370145,-0.0457621,-1.19408,0
4.09,0.370719,-0.0455053,-1.19676,0
4.1,0.371289,-0.0452414,-1.19944,0
4.11,0.371856,-0.0449703,-1.20212,0
4.12,0.372419,-0.0446921,-1.2048,0
4.13,0.372979,-0.0444068,-1.20747,0
4.14,0.373535,-0.0441146,-1.21015,0
4.15,0.374088,-0.0438153,-1.21281,0
4.16,0.374636,-0.0435092,-1.21548,0
4.17,0.375181,-0.0431962,-1.21814,0
4.18,0.375722,-0.0428763,-1.2208,0
4.19,0.376259,-0.0425497,-1.22346,0
4.2,0.376791,-0.0422164,-1.22612,0
4.21,0.37732,-0.0418764,-1.22877,0
4.22,0.377844,-0.0415298,-1.23142,0
4.23,0.378363,-0.0411766,-1.23407,0
4.24,0.378879,-0.040817,-1.23671,0
4.25,0.379389,-0.0404509,-1.23935,0
4.26,0.379895,-0.0400784,-1.24199,0
4.27,0.380397,-0.0396995,-1.24463,0
4.28,0.380893,-0.0393144,-1.24726,0
4.29,0.381385,-0.0389231,-1.2499,0
4.3,0.381871,-0.0385257,-1.25253,0
4.31,0.382353,-0.0381221,-1.25515,0
4.32,0.382829,-0.0377126,-1.25778,0
4.33,0.383301,-0.0372971,-1.2604,0
4.34,0.383767,-0.0368757,-1.26301,0
4.35,0.384227,-0.0364484,-1.26563,0
4.36,0.384683,-0.0360155,-1.26824,0
4.37,0.385132,-0.0355768,-1.27085,0
4.38,0.385577,-0.0351325,-1.27346,0
4.39,0.386015,-0.0346827,-1.27607,0
4.4,0.386448,-0.0342274,-1.27867,0
4.41,0.386876,-0.0337666,-1.28127,0
4.42,0.387297,-0.0333006,-1.28387,0
4.43,0.387713,-0.0328293,-1.28646,0
4.44,0.388122,-0.0323528,-1.28906,0
4.45,0.388526,-0.0318712,-1.29165,0
4.46,0.388923,-0.0313846,-1.29423,0
4.47,0.389314,-0.030893,-1.29682,0
4.48,0.3897,-0.0303965,-1.2994,0
4.49,0.390078,-0.0298953,-1.30198,0
4.5,0.390451,-0.0293893,-1.30456,0
4.51,0.390817,-0.0288786,-1.30713,0
4.52,0.391177,-0.0283635,-1.3097,0
4.53,0.39153,-0.0278438,-1.31227,0
4.54,0.391876,-0.0273197,-1.31484,0
4.55,0.392216,-0.0267913,-1.3174,0
4.56,0.39255,-0.0262587,-1.31996,0
4.57,0.392876,-0.025722,-1.32252,0
4.58,0.393196,-0.0251812,-1.32508,0
4.59,0.393509,-0.0246364,-1.32763,0
4.6,0.393815,-0.0240877,-1.33018,0
4.61,0.394115,-0.0235352,-1.33273,0
4.62,0.394407,-0.022979,-1.33528,0
4.63,0.394692,-0.0224192,-1.33782,0
4.64,0.39497,-0.0218558,-1.34036,0
4.65,0.395241,-0.021289,-1.3429,0
4.66,0.395505,-0.0207188,-1.34544,0
4.67,0.395762,-0.0201453,-1.34797,0
4.68,0.396012,-0.0195687,-1.3505,0
4.69,0.396254,-0.018989,-1.35303,0
4.7,0.396489,-0.0184062,-1.35556,0
4.71,0.396716,-0.0178206,-1.35808,0
4.72,0.396937,-0.0172322,-1.3606,0
4.73,0.39715,-0.016641,-1.36312,0
4.74,0.397355,-0.0160472,-1.36563,0
4.75,0.397553,-0.0154509,-1.36815,0
4.76,0.397743,-0.0148521,-1.37066,0
4.77,0.397926,-0.014251,-1.37317,0
4.78,0.398101,-0.0136476,-1.37567,0
4.79,0.398269,-0.0130421,-1.37817,0
4.8,0.398429,-0.0124345,-1.38068,0
4.81,0.398582,-0.011825,-1.38317,0
4.82,0.398726,-0.0112135,-1.38567,0
4.83,0.398863,-0.0106004,-1.38816,0
4.84,0.398993,-0.0099855,-1.39065,0
4.85,0.399114,-0.00936907,-1.39314,0
4.86,0.399228,-0.00875116,-1.39563,0
4.87,0.399334,-0.00813186,-1.39811,0
4.88,0.399433,-0.00751128,-1.40059,0
4.89,0.399523,-0.00688952,-1.40307,0
4.9,0.399606,-0.00626667,-1.40554,0
4.91,0.399681,-0.00564282,-1.40802,0
4.92,0.399748,-0.00501809,-1.41049,0
4.93,0.399807,-0.00439257,-1.41296,0
4.94,0.399858,-0.00376635,-1.41542,0
4.95,0.399901,-0.00313953,-1.41789,0
4.96,0.399937,-0.00251222,-1.42035,0
4.97,0.399964,-0.00188451,-1.42281,0
4.98,0.399984,-0.00125651,-1.42526,0
4.99,0.399996,-0.000628307,-1.42772,0
5,0.4,-5.35898e-09,-1.43017,0
5.01,0.399996,0.000628297,-1.43262,0
5.02,0.399984,0.0012565,-1.43506,0
5.03,0.399964,0.0018845,-1.43751,0
5.04,0.399937,0.00251221,-1.43995,0
5.05,0.399901,0.00313952,-1.44239,0
5.06,0.399858,0.00376633,-1.44482,0
5.07,0.399807,0.00439255,-1.44726,0
5.08,0.399748,0.00501808,-1.44969,0
5.09,0.399681,0.00564281,-1.45212,0
5.1,0.399606,0.00626666,-1.45454,0
5.11,0.399523,0.00688951,-1.45697,0
5.12,0.399433,0.00751127,-1.45939,0
5.13,0.399334,0.00813185,-1.46181,0
5.14,0.399228,0.00875115,-1.46423,0
5.15,0.399114,0.00936906,-1.46664,0
5.16,0.398993,0.00998549,-1.46905,0
5.17,0.398863,0.0106004,-1.47146,0
5.18,0.398726,0.0112135,-1.47387,0
5.19,0.398582,0.0118249,-1.47628,0
5.2,0.398429,0.0124345,-1.47868,0
5.21,0.398269,0.0130421,-1.48108,0
5.22,0.398101,0.0136476,-1.48348,0
5.23,0.397926,0.014251,-1.48587,0
5.24,0.397743,0.0148521,-1.48827,0
5.25,0.397553,0.0154508,-1.49066,0
5.26,0.397355,0.0160472,-1.49305,0
5.27,0.39715,0.016641,-1.49543,0
5.28,0.396937,0.0172321,-1.49781,0
5.29,0.396716,0.0178206,-1.5002,0
5.3,0.396489,0.0184062,-1.50257,0
5.31,0.396254,0.0189889,-1.50495,0
5.32,0.396012,0.0195687,-1.50732,0
5.33,0.395762,0.0201453,-1.5097,0
5.34,0.395505,0.0207188,-1.51207,0
5.35,0.395241,0.021289,-1.51443,0
5.36,0.39497,0.0218558,-1.5168,0
5.37,0.394692,0.0224192,-1.51916,0
5.38,0.394407,0.022979,-1.52152,0
5.39,0.394115,0.0235352,-1.52388,0
5.4,0.393815,0.0240877,-1.52623,0
5.41,0.393509,0.0246364,-1.52858,0
5.42,0.393196,0.0251812,-1.53093,0
5.43,0.392876,0.025722,-1.53328,0
5.44,0.39255,0.0262587,-1.53563,0
5.45,0.392216,0.0267913,-1.53797,0
5.46,0.391876,0.0273197,-1.54031,0
5.47,0.39153,0.0278438,-1.54265,0
5.48,0.391177,0.0283634,-1.54499,0
5.49,0.390817,0.0288786,-1.54732,0
5.5,0.390451,0.0293893,-1.54965,0
5.51,0.390078,0.0298952,-1.55198,0
