Algorithm,PointIndex,ComputationTime(ms),JointLimitCost,Success,Joint1,Vel1,Joint2,Vel2,Joint3,Vel3,Joint4,Vel4,Joint5,Vel5,Joint6,Vel6,Joint7,Vel7,Joint8,Vel8
GA,157,2.292500,0.605811,1,2387.368305,-1.506803,1635.321305,-9.883833,1020.017662,0.198467,3.294924,-0.000027,0.331717,0.000000,-1.426921,0.000000,1.522430,0.000025,0.308354,0.001125
GA,158,2.288300,0.605732,1,2385.553085,-1.504569,1623.396322,-9.884176,1020.256955,0.198341,3.294925,0.000013,0.331717,0.000000,-1.426921,0.000000,1.522429,-0.000005,0.308488,0.001107
GA,159,2.303400,0.605661,1,2383.730204,-1.510851,1611.471922,-9.883257,1020.493890,0.196378,3.294922,-0.000027,0.331717,0.000000,-1.426921,0.000000,1.522433,0.000025,0.308660,0.001431
GA,160,2.351100,0.605590,1,2381.911915,-1.507045,1599.546806,-9.883844,1020.730467,0.196081,3.294927,0.000042,0.331717,0.000000,-1.426921,0.000000,1.522427,-0.000047,0.308831,0.001419
GA,161,2.270800,0.605498,1,2380.095339,-1.506049,1587.624767,-9.884071,1020.962365,0.192257,3.294926,-0.000007,0.331717,0.000000,-1.426921,0.000000,1.522428,0.000008,0.308847,0.000131
GA,162,2.324800,0.605407,1,2378.279467,-1.505464,1575.702617,-9.884161,1021.194207,0.192211,3.294927,0.000004,0.331717,0.000000,-1.426921,0.000000,1.522428,-0.000003,0.308866,0.000153
GA,163,2.259300,0.605347,1,2376.460677,-1.507527,1563.778028,-9.883847,1021.426038,0.192156,3.294926,-0.000003,0.331717,0.000000,-1.426921,0.000000,1.522428,0.000003,0.309069,0.001687
GA,164,2.361600,0.605288,1,2374.642129,-1.507330,1551.853430,-9.883878,1021.657840,0.192132,3.294926,0.000000,0.331717,0.000000,-1.426921,0.000000,1.522428,-0.000002,0.309275,0.001709
GA,165,2.285700,0.605200,1,2372.823557,-1.507368,1539.928883,-9.883952,1021.884655,0.188001,3.294926,0.000000,0.331717,0.000000,-1.426921,0.000000,1.522428,0.000000,0.309275,0.000000
GA,166,2.302000,0.605113,1,2371.004984,-1.507369,1528.004337,-9.883951,1022.111469,0.188000,3.294926,0.000000,0.331717,0.000000,-1.426921,0.000000,1.522428,0.000000,0.309275,0.000000
GA,167,2.404500,0.605061,1,2369.186191,-1.507545,1516.079784,-9.883924,1022.338315,0.188026,3.294926,-0.000003,0.331717,0.000000,-1.426921,0.000000,1.522428,0.000006,0.309494,0.001817
GA,168,2.387100,0.605011,1,2367.367398,-1.507546,1504.155230,-9.883924,1022.565160,0.188026,3.294926,-0.000003,0.331717,0.000000,-1.426921,0.000000,1.522429,0.000006,0.309714,0.001817
GA,169,2.457100,0.604930,1,2365.545703,-1.510261,1492.233524,-9.883587,1022.786993,0.183909,3.294924,-0.000009,0.331717,0.000000,-1.426921,0.000000,1.522429,-0.000003,0.309715,0.000012
GA,170,2.279000,0.604850,1,2363.725456,-1.509014,1480.311228,-9.883777,1023.008833,0.183909,3.294926,0.000013,0.331717,0.000000,-1.426921,0.000000,1.522428,-0.000002,0.309716,0.000011
GA,171,2.455800,0.604785,1,2361.902838,-1.510708,1468.387095,-9.883518,1023.230727,0.183920,3.294923,-0.000024,0.331717,0.000000,-1.426921,0.000000,1.522430,0.000016,0.309802,0.000711
GA,172,2.353500,0.604721,1,2360.083594,-1.507888,1456.462254,-9.883952,1023.452416,0.183748,3.294926,0.000028,0.331717,0.000000,-1.426921,0.000000,1.522427,-0.000025,0.309888,0.000715
GA,173,2.405300,0.604680,1,2358.265053,-1.507371,1444.537807,-9.884067,1023.671734,0.181791,3.294926,0.000000,0.331717,0.000000,-1.426921,0.000000,1.522428,0.000001,0.310110,0.001839
GA,174,2.291600,0.604640,1,2356.445808,-1.507956,1432.613469,-9.883977,1023.891108,0.181837,3.294925,-0.000010,0.331717,0.000000,-1.426921,0.000000,1.522429,0.000012,0.310330,0.001818
GA,175,2.345400,0.604553,1,2354.623402,-1.510558,1420.689375,-9.883655,1024.105501,0.177707,3.294923,-0.000021,0.331717,0.000000,-1.426921,0.000000,1.522431,0.000016,0.310228,-0.000846
GA,176,2.478900,0.604468,1,2352.803906,-1.508126,1408.764673,-9.884029,1024.319717,0.177557,3.294926,0.000024,0.331717,0.000000,-1.426921,0.000000,1.522429,-0.000019,0.310126,-0.000841
