Time,Position,Force,Desired_Force,Velocity
2.620000,-0.614246,0.000000,8.000000,-0.323437
2.630000,-0.617483,0.000000,8.000000,-0.323962
2.640000,-0.620726,0.000000,8.000000,-0.324522
2.650000,-0.623974,0.000000,8.000000,-0.325107
2.660000,-0.627229,0.000000,8.000000,-0.325704
2.670000,-0.630489,0.000000,8.000000,-0.326305
2.680000,-0.633755,0.000000,8.000000,-0.326899
2.690000,-0.637028,0.000000,8.000000,-0.327479
2.700000,-0.640305,0.000000,8.000000,-0.328037
2.710000,-0.643589,0.000000,8.000000,-0.328567
2.720000,-0.646877,0.000000,8.000000,-0.329063
2.730000,-0.650170,0.000000,8.000000,-0.329520
2.740000,-0.653468,0.000000,8.000000,-0.329935
2.750000,-0.656769,0.000000,8.000000,-0.330305
2.760000,-0.660074,0.000000,8.000000,-0.330628
2.770000,-0.663382,0.000000,8.000000,-0.330900
2.780000,-0.666692,0.000000,8.000000,-0.331123
2.790000,-0.670005,0.000000,8.000000,-0.331295
2.800000,-0.673318,0.000000,8.000000,-0.331415
2.810000,-0.676633,0.000000,8.000000,-0.331486
2.820000,-0.679948,0.000000,8.000000,-0.331508
2.830000,-0.683263,0.000000,8.000000,-0.331482
2.840000,-0.686577,0.000000,8.000000,-0.331409
2.850000,-0.689891,0.000000,8.000000,-0.331293
2.860000,-0.693203,0.000000,8.000000,-0.331135
2.870000,-0.696513,0.000000,8.000000,-0.330937
2.880000,-0.699821,0.000000,8.000000,-0.330702
2.890000,-0.703127,0.000000,8.000000,-0.330433
2.900000,-0.706429,0.000000,8.000000,-0.330132
2.910000,-0.709729,0.000000,8.000000,-0.329803
2.920000,-0.713025,0.000000,8.000000,-0.329448
2.930000,-0.716317,0.000000,8.000000,-0.329070
2.940000,-0.719606,0.000000,8.000000,-0.328671
2.950000,-0.722890,0.000000,8.000000,-0.328254
2.960000,-0.726171,0.000000,8.000000,-0.327823
2.970000,-0.729446,0.000000,8.000000,-0.327378
2.980000,-0.732718,0.000000,8.000000,-0.326924
2.990000,-0.735984,0.000000,8.000000,-0.326461
3.000000,-0.739246,0.000000,8.000000,-0.325993
3.010000,-0.742504,0.000000,8.000000,-0.325520
3.020000,-0.745756,0.000000,8.000000,-0.325046
3.030000,-0.749004,0.000000,8.000000,-0.324571
