算法名称,AT(ms),SR5(%),SR10(%),J1(mm),J2(mm),J3(mm),J4(°),J5(°),J6(°),J7(°),J8(°),极限逼近次数,关节突变次数,速度突变次数
NSGA,12.242,87.667,92,32.015,29.714,17.609,3.539,2.722,2.689,2.786,3.697,80,18,92
MOEAD,8.136,95.667,96.667,27.605,24.112,12.678,3.537,1.384,2.463,1.993,4.01,87,6,86
MOEAD,5.129,96.333,97.667,27.253,24.306,12.475,3.513,1.478,1.973,1.376,3.486,94,6,87
NSGA,12.305,90.333,92.333,28.347,29.167,12.851,3.508,1.829,1.565,1.635,2.439,65,14,71
ISGA,8.194,79.333,81.333,30.881,32.389,19.286,3.466,1.845,2.443,2.935,3.009,24,13,52
GA,8.653,91,95.667,27.95,27.21,14.527,3.425,2.23,2.346,2.423,3.066,92,13,88
GA,4.025,96,98.667,26.29,26.378,14.834,3.412,2.09,2.086,1.528,3.74,84,11,106
GA,5.99,96,97,26.795,26.518,14.287,3.376,2.173,3.124,2.477,5.068,115,14,103
NSGA,14.546,84.667,91.333,31.211,27.559,16.751,3.367,2.486,2.486,2.758,3.775,72,18,79
GA,4.97,97.667,98,25.235,23.786,11.823,3.338,2.015,3.422,3.034,4.221,103,9,113
GA,5.784,96.333,97.333,25.73,24.466,10.45,3.313,1.684,3.19,2.836,4.194,96,7,95
MOEAD,3.948,97,99,27.016,26.304,14.712,3.176,2.017,1.568,1.473,2.224,94,9,100
GA,5.041,95.333,96.333,25.775,25.218,12.366,3.154,1.971,3.143,2.412,3.83,70,12,101
MOEAD,4.138,95.333,98.667,26.692,24.644,11.76,3.14,1.851,2.916,3.069,4.182,76,11,105
MOEAD,4.821,95,98.333,25.468,25.719,10.719,3.111,1.639,2.988,1.891,2.759,95,8,96
MOEAD,4.059,97.333,98.667,24.306,25.418,13.649,2.74,2.089,4.047,3.705,8.486,87,18,112
MOEAD,4.451,97,98.667,25.277,25.533,14.35,2.981,2.191,3.569,3.181,5.629,93,13,109
MOEAD,4.338,96.667,98.333,26.103,24.849,11.813,2.93,1.593,5.177,3.831,5.123,103,11,91
MOEAD,4,97.667,98.333,26.42,28.319,15.837,2.843,2.624,3.466,3.031,5.107,62,19,114
MOEAD,4.105,96.333,98.667,25.894,25.641,14.136,2.844,2.176,2.893,2.633,5.074,60,14,107
MOEAD,4.643,96.667,98.333,25.381,26.093,12.682,2.922,1.948,4.028,3.435,4.994,81,16,88
GA,7.332,95.667,96.667,28.579,27.42,15.404,3.005,2.331,2.788,2.613,4.715,89,14,105
MOEAD,4.041,96,97.333,26.704,26.028,13.716,2.895,2.205,3.615,3.132,4.687,61,17,100
GA,3.807,97.667,98.333,23.784,24.715,11.24,2.708,1.676,3.163,3.664,4.644,61,11,87
MOEAD,4.187,97.333,98.333,26.071,25.801,12.665,3.024,2.059,3.683,3.141,4.539,70,10,106
MOEAD,4.042,98,99,26.711,26.442,13.061,3.066,1.982,3.679,3.104,4.466,55,12,118
MOEAD,4.019,97.667,98.333,25.368,24.82,12.83,2.879,2.004,3.574,3.31,4.381,69,15,106
MOEAD,3.938,97.333,98.667,25.694,24.907,11.706,3.02,1.73,2.794,3.029,4.187,75,9,94
MOEAD,3.81,96.667,98.667,25.443,23.983,11.032,2.994,1.665,2.655,2.905,4.099,78,6,105
GA,3.931,96.667,98.333,25.204,26.829,13.063,2.864,2.25,2.162,2.41,4.077,95,9,84
MOEAD,4.013,98,98.667,25.306,26.262,13.768,2.863,2.151,2.932,2.476,4.05,79,16,103
GA,3.454,97,98.667,24.113,26.859,12.414,2.789,2.383,2.204,2.624,4.033,78,16,102
GA,4.288,97,98,25.315,25.259,13.141,2.773,2.2,2.871,2.506,4.016,104,11,102
MOEAD,4.129,97.667,98.667,26.223,25.949,12.959,3,2.098,3.021,2.566,4.015,60,15,101
MOEAD,4.56,97,98.667,26.3,26.276,14.816,3.032,2.398,3.584,2.706,3.89,71,13,130
GA,3.398,96,98.667,24.781,27.234,13.011,2.864,2.292,2.037,2.455,3.867,69,12,73
MOEAD,3.747,98.667,98.667,25.356,25.747,12.765,2.801,2.035,2.015,2.516,3.829,63,10,95
MOEAD,4.113,95,98.333,25.111,26.377,13.35,2.853,2.038,2.951,2.628,3.8,104,15,99
GA,3.71,97.333,98.667,24.881,25.531,11.192,2.905,1.949,2.207,2.522,3.711,78,11,94
MOEAD,4.077,97.333,98.667,26.038,26.714,12.876,2.926,2.153,3.533,2.552,3.694,61,13,93
MOEAD,4.269,98,98.333,24.71,26.953,14.825,2.765,2.129,3.36,2.567,3.691,57,15,94
GA,4.332,97,98,25.281,25.315,12.631,2.935,2.097,2.107,2.672,3.666,87,11,108
MOEAD,4.192,95,98.333,24.738,24.147,12.697,2.848,1.845,2.975,2.502,3.666,83,9,108
GA,4.215,96.333,98,25.097,25.189,12.212,2.972,1.881,2.212,2.436,3.653,103,8,91
MOEAD,3.925,98,99,25.496,24.354,12.393,2.785,1.884,2.895,2.646,3.632,73,9,103
GA,4.015,97.333,97.333,24.997,25.157,12.027,2.881,1.743,2.805,2.611,3.602,77,11,96
GA,3.207,97.667,99,23.83,25.571,12.105,2.931,2.017,2.172,2.556,3.596,82,8,98
MOEAD,4.084,98,98.667,24.631,25.725,10.972,2.811,1.646,2.868,2.459,3.581,58,11,97
GA,3.823,98,98.333,25.023,24.866,11.984,2.887,1.827,2.063,2.517,3.569,79,13,100
GA,3.653,97.667,98.667,25.513,24.321,11.3,2.803,1.712,2.025,2.54,3.511,48,6,93
GA,3.272,97.333,99,24.318,24.901,10.627,2.713,1.807,2.063,2.4,3.487,92,10,85
MOEAD,4.208,96.333,98,24.153,24.761,10.831,2.88,1.719,2.13,2.411,3.484,105,8,98
GA,3.808,97,99,24.343,24.624,10.074,2.974,1.63,2.249,2.421,3.459,83,5,99
MOEAD,4.361,97.667,98.667,25.202,24.17,10.929,2.827,1.576,2.028,2.523,3.444,61,11,98
MOEAD,4.297,98,98.333,25.187,24.396,12.862,2.958,1.791,3.498,2.548,3.39,56,9,98
MOEAD,3.839,96.333,98.667,24.814,24.471,11.348,2.865,1.464,2.004,2.394,3.352,73,8,89
GA,3.19,98,99,24.074,23.902,10.73,2.964,1.798,2.142,2.382,3.342,77,10,98
GA,3.637,98,98.667,23.72,24.369,9.977,2.842,1.503,2.03,2.333,3.34,98,5,97
GA,3.653,98,98.667,24.303,23.55,10.387,2.893,1.582,2.119,2.315,3.317,64,7,100
GA,4.316,96.333,98,24.687,24.615,10.5,3.088,1.552,2.138,2.406,3.258,93,10,97
MOEAD,4.439,95.667,98.333,24.697,23.874,10.301,2.992,1.299,2.977,2.308,3.209,81,6,94
GA,3.864,97.333,98.333,26.38,26.881,15.055,2.905,2.598,1.866,1.617,3.112,81,18,100
