# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7
105,SUCCESS_CARTESIAN,100,1.021816,3,0.450632,0.046433,0.000027,0.192904,1.286041,0.236429,0.69415,0.869137,0.453881
106,SUCCESS_CARTESIAN,100,0.884875,3,0.547543,0.052896,0,0.196416,1.322399,0.246277,0.734681,0.894612,0.380726
107,SUCCESS_CARTESIAN,100,0.800169,3,0.498411,0.059416,0.000452,0.203915,1.359067,0.245765,0.766045,0.929926,0.320076
108,SUCCESS_CARTESIAN,100,0.788324,3,0.447485,0.066348,0.00029,0.214797,1.393904,0.236518,0.789333,0.971586,0.272251
109,SUCCESS_CARTESIAN,100,0.745088,3,0.485433,0.075652,0.000187,0.220287,1.427487,0.242231,0.816779,1.003022,0.215825
110,SUCCESS_CARTESIAN,100,0.745824,3,0.488909,0.086076,0.001211,0.224786,1.462195,0.251012,0.84277,1.034486,0.158831
111,SUCCESS_CARTESIAN,100,0.817365,3,0.417402,0.096627,0,0.233399,1.492353,0.249023,0.860769,1.07083,0.117238
112,SUCCESS_CARTESIAN,100,0.715205,3,0.419248,0.107926,0.000728,0.241894,1.525102,0.247704,0.877212,1.10934,0.07554
113,SUCCESS_CARTESIAN,100,0.721726,3,0.3913,0.119865,0.000152,0.251409,1.554777,0.243965,0.890671,1.147688,0.040163
114,SUCCESS_CARTESIAN,100,0.748867,3,0.457849,0.134514,0.000028,0.253328,1.584503,0.261127,0.909336,1.173642,-0.011194
115,SUCCESS_CARTESIAN,100,0.724904,3,0.403237,0.148686,0,0.260012,1.61375,0.265708,0.921615,1.20764,-0.04974
116,SUCCESS_CARTESIAN,100,0.74763,3,0.409367,0.163902,0.000969,0.265764,1.644124,0.273127,0.93274,1.241278,-0.089793
117,SUCCESS_CARTESIAN,100,0.815989,3,0.42417,0.180666,0.000005,0.268104,1.670636,0.290188,0.944716,1.266674,-0.13425
118,SUCCESS_CARTESIAN,100,0.804651,3,0.393381,0.19726,0.000925,0.273966,1.699761,0.297921,0.952033,1.299968,-0.171027
119,SUCCESS_CARTESIAN,100,1.014402,3,0.381842,0.214397,0.000013,0.279302,1.725071,0.307402,0.958567,1.329532,-0.205945
120,SUCCESS_CARTESIAN,100,0.880502,3,0.381708,0.231214,0.000036,0.287786,1.751162,0.308479,0.961878,1.36471,-0.233242
121,SUCCESS_CARTESIAN,100,0.935093,3,0.376118,0.249578,0,0.2931,1.776868,0.318547,0.965425,1.394563,-0.266977
122,SUCCESS_CARTESIAN,100,0.970603,3,0.394249,0.267182,0.000057,0.302204,1.801667,0.318395,0.966406,1.429606,-0.290914
123,SUCCESS_CARTESIAN,100,0.989464,3,0.401266,0.284014,0,0.314825,1.825055,0.308757,0.965981,1.468972,-0.305591
124,SUCCESS_CARTESIAN,100,0.986382,3,0.424768,0.300146,0.000005,0.331042,1.847257,0.289507,0.965119,1.512903,-0.311209
125,SUCCESS_CARTESIAN,100,0.795647,3,0.375474,0.320579,0.00049,0.335361,1.871475,0.303106,0.964711,1.53973,-0.344503
126,SUCCESS_CARTESIAN,100,0.742428,3,0.345039,0.340282,0.000034,0.342207,1.892956,0.309986,0.963578,1.568214,-0.370332
127,SUCCESS_CARTESIAN,100,0.962443,3,0.540966,0.367651,0.000103,0.330169,1.919158,0.369706,0.959181,1.569997,-0.441631
128,SUCCESS_CARTESIAN,100,0.958233,3,0.550066,0.39739,0.000107,0.317355,1.946665,0.433259,0.951505,1.569851,-0.516102
129,SUCCESS_CARTESIAN,100,0.876266,3,0.547644,0.428941,0.00009,0.305414,1.975514,0.496307,0.940408,1.569841,-0.590068
130,SUCCESS_CARTESIAN,100,0.863487,3,0.546981,0.462075,0.000012,0.294646,2.005785,0.558124,0.925799,1.569988,-0.662861
131,SUCCESS_CARTESIAN,100,0.915938,3,0.546799,0.496923,0.000004,0.284892,2.03813,0.619325,0.907254,1.569924,-0.735147
132,SUCCESS_CARTESIAN,100,0.919544,3,0.536981,0.533106,0.000077,0.276585,2.072607,0.678572,0.884648,1.569997,-0.805726
133,SUCCESS_CARTESIAN,100,0.93771,3,0.533845,0.570347,0.000035,0.269768,2.108947,0.735677,0.858162,1.569763,-0.874188
134,SUCCESS_CARTESIAN,100,0.944903,3,0.514121,0.608041,0.000006,0.264866,2.147004,0.78889,0.827947,1.569979,-0.939036
135,SUCCESS_CARTESIAN,100,0.882694,3,0.509938,0.647029,0.000417,0.261197,2.188795,0.840394,0.792607,1.569928,-1.002748
136,SUCCESS_CARTESIAN,100,0.781447,3,0.497413,0.685766,0.000609,0.259419,2.231494,0.887303,0.754294,1.569996,-1.06185
137,SUCCESS_CARTESIAN,100,0.818427,3,0.46766,0.723342,0.000165,0.259517,2.272942,0.928934,0.71494,1.57,-1.115005
138,SUCCESS_CARTESIAN,100,0.885744,3,0.458282,0.761494,0.000023,0.260646,2.317294,0.968362,0.671491,1.56954,-1.166262
