# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7
131,SUCCESS_CARTESIAN,100,7.566341,3,0.546308,0.496873,0,0.284947,2.03808,0.619134,-2.234325,-1.569989,2.406618
132,SUCCESS_CARTESIAN,100,4.891646,3,0.537393,0.533005,0,0.276646,2.072378,0.678364,-2.256809,-1.569976,2.336134
133,SUCCESS_CARTESIAN,100,3.477246,3,0.532278,0.570175,0,0.269909,2.108709,0.735178,-2.283281,-1.56994,2.26789
134,SUCCESS_CARTESIAN,100,2.918276,3,0.523152,0.608023,0,0.264874,2.146975,0.788852,-2.313633,-1.569975,2.20259
135,SUCCESS_CARTESIAN,100,2.61863,3,0.500172,0.646305,0,0.261513,2.187122,0.839152,-2.347743,-1.569996,2.140506
136,SUCCESS_CARTESIAN,100,2.030877,3,0.494898,0.684726,0,0.259787,2.228965,0.885774,-2.38535,-1.57,2.08195
137,SUCCESS_CARTESIAN,100,2.018923,3,0.480104,0.723054,0,0.259606,2.272225,0.928546,-2.426086,-1.57,2.027159
138,SUCCESS_CARTESIAN,100,1.951861,3,0.458204,0.761092,0,0.260842,2.316611,0.967451,-2.469548,-1.57,1.976195
139,SUCCESS_CARTESIAN,100,1.716799,3,0.438283,0.798696,0,0.263345,2.361809,1.002589,-2.515295,-1.57,1.929009
140,SUCCESS_CARTESIAN,100,1.750816,3,0.438824,0.835768,0,0.266956,2.407507,1.034153,-2.562886,-1.57,1.885462
141,SUCCESS_CARTESIAN,100,1.728617,3,0.446809,0.872209,0,0.271526,2.453322,1.06236,-2.61182,-1.57,1.845406
142,SUCCESS_CARTESIAN,100,1.611215,3,0.459064,0.908036,0,0.27691,2.49911,1.087541,-2.661809,-1.57,1.808516
143,SUCCESS_CARTESIAN,100,1.605462,3,0.457995,0.943198,0,0.282985,2.544546,1.109957,-2.712425,-1.57,1.774591
144,SUCCESS_CARTESIAN,100,1.470884,3,0.455124,0.977885,0,0.289579,2.589849,1.130248,-2.763742,-1.569737,1.743074
145,SUCCESS_CARTESIAN,100,1.491707,3,0.462417,1.011577,0,0.296732,2.633608,1.147888,-2.81437,-1.569753,1.714511
146,SUCCESS_CARTESIAN,100,1.513993,3,0.458132,1.044409,0,0.304299,2.675898,1.163475,-2.864271,-1.569814,1.688413
147,SUCCESS_CARTESIAN,100,1.445579,3,0.44681,1.076352,0,0.312205,2.716429,1.177295,-2.913082,-1.56989,1.66459
148,SUCCESS_CARTESIAN,100,1.471709,3,0.437834,1.107241,0,0.320394,2.754595,1.18953,-2.960163,-1.57,1.643023
149,SUCCESS_CARTESIAN,100,2.498467,3,0.437272,1.137139,0,0.328788,2.790357,1.20058,-3.005409,-1.57,1.623451
150,SUCCESS_CARTESIAN,100,2.645496,3,0.416063,1.165737,0,0.337361,2.822713,1.210505,-3.047819,-1.57,1.606064
151,SUCCESS_CARTESIAN,100,1.932285,3,0.401733,1.192884,0,0.346072,2.851074,1.219523,-3.086783,-1.57,1.590872
152,SUCCESS_CARTESIAN,100,1.680662,3,0.372862,1.218346,0,0.35488,2.874612,1.227838,-3.121465,-1.57,1.577981
153,SUCCESS_JOINT_SPACE,100,50.712436,34,4.335493,1.276926,0.001979,0.363587,2.990719,1.249451,-0.111644,1.556346,-1.602985
154,SUCCESS_CARTESIAN,100,1.012688,3,0.231468,1.289832,0.001803,0.371521,2.986105,1.25255,-0.110854,1.558788,-1.607367
155,SUCCESS_CARTESIAN,100,0.740893,3,0.24961,1.304375,0.002113,0.380853,2.977039,1.25652,-0.1154,1.562289,-1.6083
156,SUCCESS_CARTESIAN,100,0.704161,3,0.241732,1.318923,0.002886,0.390157,2.96795,1.260505,-0.119973,1.565702,-1.609206
157,SUCCESS_CARTESIAN,100,0.716638,3,0.241027,1.333472,0.004116,0.399428,2.958833,1.264501,-0.124578,1.569028,-1.610083
158,SUCCESS_CARTESIAN,100,0.9886,3,0.251619,1.348202,0.005003,0.408407,2.949776,1.270787,-0.129301,1.57,-1.610669
159,SUCCESS_CARTESIAN,100,0.980354,3,0.252616,1.363012,0.006019,0.417256,2.940734,1.277989,-0.134105,1.57,-1.611089
160,SUCCESS_CARTESIAN,100,0.820468,3,0.251138,1.377821,0.007522,0.426084,2.931666,1.285121,-0.138954,1.57,-1.611461
161,SUCCESS_CARTESIAN,100,0.98937,3,0.252832,1.392623,0.00951,0.434888,2.922568,1.292186,-0.143851,1.57,-1.611787
162,SUCCESS_CARTESIAN,100,0.713153,3,0.252578,1.407411,0.011983,0.443665,2.913439,1.299184,-0.148797,1.57,-1.612066
163,SUCCESS_CARTESIAN,100,0.961053,3,0.252052,1.422178,0.01494,0.45241,2.904274,1.306117,-0.153794,1.57,-1.612299
164,SUCCESS_CARTESIAN,100,1.027975,3,0.252749,1.436917,0.01838,0.46112,2.895071,1.312984,-0.158844,1.57,-1.612486
165,SUCCESS_CARTESIAN,100,0.929835,3,0.251966,1.451622,0.0223,0.469791,2.885828,1.319786,-0.163949,1.57,-1.612629
166,SUCCESS_CARTESIAN,100,0.947954,3,0.251887,1.466286,0.026701,0.47842,2.876542,1.326526,-0.16911,1.57,-1.612727
167,SUCCESS_CARTESIAN,100,1.002761,3,0.250034,1.480903,0.031581,0.487002,2.867209,1.333202,-0.174329,1.57,-1.61278
168,SUCCESS_CARTESIAN,100,1.027306,3,0.247029,1.495465,0.036938,0.495535,2.857827,1.339816,-0.179609,1.57,-1.61279
169,SUCCESS_CARTESIAN,100,0.988057,3,0.247351,1.509967,0.042771,0.504015,2.848394,1.346367,-0.184951,1.57,-1.612756
170,SUCCESS_CARTESIAN,100,0.852469,3,0.241473,1.5244,0.04908,0.512438,2.838907,1.352853,-0.190357,1.57,-1.612679
171,SUCCESS_CARTESIAN,100,0.744619,3,0.242344,1.53876,0.055859,0.5208,2.829362,1.359282,-0.19583,1.57,-1.612557
172,SUCCESS_CARTESIAN,100,0.82151,3,0.244021,1.553039,0.063109,0.529097,2.819759,1.365651,-0.20137,1.57,-1.612393
173,SUCCESS_CARTESIAN,100,0.876207,3,0.245251,1.56723,0.070827,0.537328,2.810093,1.371958,-0.206981,1.57,-1.612186
174,SUCCESS_CARTESIAN,100,0.909676,3,0.248825,1.581327,0.079012,0.545486,2.800363,1.378205,-0.212663,1.57,-1.611935
175,SUCCESS_CARTESIAN,100,1.033334,3,0.245305,1.595323,0.087661,0.553571,2.790565,1.384391,-0.218419,1.57,-1.611642
176,SUCCESS_CARTESIAN,100,0.931287,3,0.244142,1.609211,0.096772,0.561576,2.780698,1.390516,-0.22425,1.57,-1.611307
177,SUCCESS_CARTESIAN,100,0.804162,3,0.243421,1.622983,0.106343,0.5695,2.770759,1.396579,-0.23016,1.57,-1.610929
178,SUCCESS_CARTESIAN,100,0.984386,3,0.24357,1.636634,0.116371,0.577339,2.760746,1.402582,-0.236148,1.57,-1.610508
179,SUCCESS_CARTESIAN,100,0.948113,3,0.241646,1.650156,0.126854,0.585089,2.750656,1.408522,-0.242217,1.57,-1.610045
180,SUCCESS_CARTESIAN,100,0.945074,3,0.237406,1.663542,0.137789,0.592747,2.740487,1.4144,-0.24837,1.57,-1.609541
181,SUCCESS_CARTESIAN,100,0.926269,3,0.235493,1.676785,0.149173,0.600308,2.730237,1.420215,-0.254607,1.57,-1.608994
182,SUCCESS_CARTESIAN,100,1.110613,3,0.229782,1.689877,0.161004,0.607771,2.719903,1.425966,-0.26093,1.57,-1.608406
183,SUCCESS_CARTESIAN,100,2.517482,3,0.229744,1.702812,0.173278,0.615131,2.709484,1.431652,-0.267341,1.57,-1.607776
184,SUCCESS_CARTESIAN,100,2.697911,3,0.230624,1.715581,0.185992,0.622384,2.698978,1.437272,-0.273842,1.57,-1.607106
185,SUCCESS_CARTESIAN,100,1.161726,3,0.235385,1.728178,0.199143,0.629528,2.688382,1.442825,-0.280434,1.57,-1.606395
186,SUCCESS_CARTESIAN,100,0.786344,3,0.236131,1.740595,0.212727,0.636558,2.677696,1.44831,-0.287118,1.57,-1.605643
187,SUCCESS_CARTESIAN,100,0.701303,3,0.246666,1.752824,0.226742,0.643472,2.666916,1.453724,-0.293897,1.57,-1.604852
188,SUCCESS_CARTESIAN,100,0.748126,3,0.244142,1.764856,0.241182,0.650266,2.656043,1.459067,-0.30077,1.57,-1.604022
189,SUCCESS_CARTESIAN,100,0.881083,3,0.249858,1.776685,0.256045,0.656936,2.645073,1.464337,-0.307741,1.57,-1.603153
