# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7,,
152,SUCCESS_CARTESIAN,100,0.746965,3,0.375539,1.218302,0,0.354879,2.874478,1.22783,-3.12134,-1.57,1.578025,3.734825,
153,SUCCESS_JOINT_SPACE,100,92.656132,2,0.19517,1.236521,0.00043,0.362921,2.868898,1.23096,-3.135864,-1.57,1.571443,463.28066,
154,SUCCESS_JOINT_SPACE,100,101.325926,2,0.173833,1.250676,0.000002,0.370615,2.87425,1.236474,-3.138082,-1.568006,1.56194,506.62963,
155,SUCCESS_JOINT_SPACE,100,108.452504,33,4.19443,1.310373,0.000077,0.383186,2.994916,1.263292,-0.134163,1.562665,-1.610516,542.26252,
156,SUCCESS_CARTESIAN,100,1.259662,3,0.28381,1.322155,0.005042,0.390669,2.979124,1.256148,-0.130591,1.569594,-1.613171,6.29831,
157,SUCCESS_CARTESIAN,100,0.877623,3,0.274086,1.337692,0.005441,0.399606,2.972742,1.262963,-0.137829,1.57,-1.614461,4.388115,
158,SUCCESS_CARTESIAN,100,0.846288,3,0.259986,1.350354,0.005515,0.408438,2.956847,1.270512,-0.136053,1.57,-1.612778,4.23144,
159,SUCCESS_CARTESIAN,100,2.087044,3,0.262832,1.363674,0.00572,0.417128,2.942637,1.279153,-0.135926,1.568779,-1.611476,10.43522,
160,SUCCESS_CARTESIAN,100,3.195358,3,0.294264,1.377229,0.006731,0.425893,2.929241,1.286898,-0.136628,1.568339,-1.610546,15.97679,
161,SUCCESS_CARTESIAN,100,1.119667,3,0.283503,1.389801,0.008727,0.434849,2.912965,1.292562,-0.13462,1.57,-1.609121,5.598335,
162,SUCCESS_CARTESIAN,100,0.794893,3,0.28433,1.404868,0.010443,0.443411,2.904059,1.301669,-0.139766,1.567903,-1.609223,3.974465,
163,SUCCESS_CARTESIAN,100,0.765723,3,0.302472,1.422657,0.01319,0.451923,2.904455,1.311045,-0.153972,1.565126,-1.61159,3.828615,
164,SUCCESS_CARTESIAN,100,0.732011,3,0.319273,1.432707,0.016689,0.460968,2.879911,1.314553,-0.144189,1.569036,-1.608436,3.660055,
165,SUCCESS_CARTESIAN,100,0.866572,3,0.312509,1.444469,0.019959,0.469699,2.860296,1.32076,-0.139218,1.569999,-1.606225,4.33286,
166,SUCCESS_CARTESIAN,100,0.81727,3,0.334952,1.454875,0.021628,0.47801,2.834043,1.330977,-0.127876,1.567105,-1.601986,4.08635,
167,SUCCESS_CARTESIAN,100,0.849698,3,0.270642,1.471469,0.027315,0.486673,2.831698,1.336897,-0.139816,1.567652,-1.604014,4.24849,
168,SUCCESS_CARTESIAN,100,0.860322,3,0.302453,1.48256,0.031733,0.495288,2.809424,1.342644,-0.132491,1.568915,-1.601468,4.30161,
169,SUCCESS_CARTESIAN,100,0.769651,3,0.265276,1.497033,0.03757,0.50381,2.799458,1.348793,-0.137246,1.569347,-1.601671,3.848255,
170,SUCCESS_CARTESIAN,100,0.782741,3,0.293081,1.508491,0.042071,0.512122,2.777379,1.356667,-0.130284,1.568344,-1.599062,3.913705,
