Timestamp(ms),Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),J1(rad),J2(rad),J3(rad),J4(rad),J5(rad),J6(rad),J7(rad),J8(rad),OffsetX(m),OffsetY(m),OffsetZ(m),OffsetRx(rad),OffsetRy(rad),OffsetRz(rad),TargetX(m),TargetY(m),TargetZ(m)
37747,0,0,-15.424322,0,0,0,292.614014,976.774963,1042.89502,2.300244,1.202951,-0.948932,-1.21581,-1.271776,0,0,1.064835,0,0,0,863.20696,-879.242579,-1748.717034
38956,0,0,-22.183381,0,0,0,286.138,1023.662048,1042.379028,2.300244,1.202951,-0.948932,-1.21581,-1.271799,0,0,-0.654555,0,0,0,874.803016,-876.563854,-1748.416792
38966,0,0,-22.183381,0,0,0,286.138,1023.662048,1042.379028,2.300244,1.202951,-0.948932,-1.21581,-1.271799,0,0,-0.654555,0,0,0,886.511795,-874.521988,-1748.217277
38989,0,0,-22.183381,0,0,0,286.138,1023.662048,1042.379028,2.300244,1.202951,-0.948932,-1.21581,-1.271799,0,0,-0.684033,0,0,0,898.100263,-871.817105,-1747.914964
38999,0,0,-22.183381,0,0,0,286.138,1023.662048,1042.379028,2.300244,1.202951,-0.948932,-1.21581,-1.271799,0,0,-0.684033,0,0,0,909.80653,-869.777763,-1747.717913
40923,0,0,-15.153478,0,0,0,276.643005,1070.422974,1041.377075,2.300244,1.202951,-0.948932,-1.21581,-1.271554,0,0,1.140773,0,0,0,921.70933,-868.848359,-1747.691412
40933,0,0,-15.153478,0,0,0,276.643005,1070.422974,1041.377075,2.300244,1.202951,-0.948932,-1.21581,-1.271554,0,0,1.140773,0,0,0,933.415675,-866.809022,-1747.489362
40955,0,0,-16.281179,0,0,0,276.643005,1070.422974,1041.377075,2.300244,1.202951,-0.948932,-1.21581,-1.271554,0,0,0.910336,0,0,0,945.278726,-865.652908,-1747.429897
40965,0,0,-16.281179,0,0,0,276.643005,1070.422974,1041.377075,2.300244,1.202951,-0.948932,-1.21581,-1.271554,0,0,0.910336,0,0,0,956.985006,-863.611069,-1747.230344
42187,0,0,-20.70552,0,0,0,273.575989,1094.97998,1041.139038,2.300244,1.202951,-0.948932,-1.21581,-1.271757,0,0,-0.205353,0,0,0,968.655998,-861.369432,-1746.994191
42198,0,0,-20.70552,0,0,0,273.575989,1094.97998,1041.139038,2.300244,1.202951,-0.948932,-1.21581,-1.271757,0,0,-0.205353,0,0,0,980.362354,-859.327598,-1746.789638
43430,0,0,-16.146969,0,0,0,266.186005,1141.009033,1040.448975,2.300244,1.202951,-0.948932,-1.21581,-1.271312,0,0,0.987408,0,0,0,992.241307,-858.251452,-1746.737078
43440,0,0,-16.146969,0,0,0,266.186005,1141.009033,1040.448975,2.300244,1.202951,-0.948932,-1.21581,-1.271312,0,0,0.987408,0,0,0,1003.950215,-856.214591,-1746.53257
43464,0,0,-16.254186,0,0,0,266.186005,1141.009033,1040.448975,2.300244,1.202951,-0.948932,-1.21581,-1.271312,0,0,1.011988,0,0,0,1015.830876,-855.159886,-1746.483751
43475,0,0,-16.254186,0,0,0,266.186005,1141.009033,1040.448975,2.300244,1.202951,-0.948932,-1.21581,-1.271312,0,0,1.011988,0,0,0,1027.537258,-853.120551,-1746.279202
44680,0,0,-25.804978,0,0,0,262.976013,1165.567017,1040.182983,2.300244,1.202951,-0.948932,-1.21581,-1.271331,0,0,-1.455906,0,0,0,1038.992927,-849.662173,-1745.848106
44690,0,0,-25.804978,0,0,0,262.976013,1165.567017,1040.182983,2.300244,1.202951,-0.948932,-1.21581,-1.271331,0,0,-1.455906,0,0,0,1050.699322,-847.620342,-1745.641054
45201,0,0,-21.728894,0,0,0,259.873993,1188.970947,1039.907959,2.300244,1.202951,-0.948932,-1.21581,-1.271165,0,0,-0.460634,0,0,0,1062.326416,-845.132829,-1745.363119
45211,0,0,-21.728894,0,0,0,259.873993,1188.970947,1039.907959,2.300244,1.202951,-0.948932,-1.21581,-1.271165,0,0,-0.460634,0,0,0,1074.032837,-843.093497,-1745.15607
45725,0,0,-16.210204,0,0,0,254.35199,1212.211914,1039.276001,2.300244,1.202951,-0.948932,-1.21581,-1.271115,0,0,0.97129,0,0,0,1085.906591,-842.001699,-1745.095992
45737,0,0,-16.210204,0,0,0,254.35199,1212.211914,1039.276001,2.300244,1.202951,-0.948932,-1.21581,-1.271115,0,0,0.97129,0,0,0,1097.613077,-839.96487,-1744.886446
